country,year,hours_worked,coffee_kg_pc,gdp_pc,population,unemployment_rate,income_group
Sweden,2010,1485.361,12.96,52542.5759090299,9378126.0,8.61,High income
Sweden,2011,1486.267,12.27,60379.4814599322,9449213.0,7.804,High income
Sweden,2012,1472.674,11.85,57749.5615420853,9519374.0,7.976,High income
Sweden,2013,1464.517,11.19,60843.9888799369,9600379.0,8.052,High income
Sweden,2014,1465.423,11.82,59583.4584491714,9696110.0,7.954,High income
Sweden,2015,1466.33,11.63,51188.1652120493,9799186.0,7.432,High income
Sweden,2016,1478.111,11.58,51703.5088332851,9923085.0,6.99,High income
Sweden,2017,1465.423,10.9,53210.2233318965,10057698.0,6.718,High income
Sweden,2018,1464.517,11.93,54018.4554391861,10175214.0,6.365,High income
Sweden,2019,1450.923,13.09,51648.9892820514,10278887.0,6.833,High income
Finland,2010,1587.625,13.78,46506.2919016566,5363352.0,8.394,High income
Finland,2011,1579.871,14.12,51060.3242589767,5388272.0,7.781,High income
Finland,2012,1568.24,14.1,47551.6740841369,5413971.0,7.689,High income
Finland,2013,1560.486,13.77,49691.0145200739,5438972.0,8.193,High income
Finland,2014,1556.609,14.11,50073.7760815871,5461512.0,8.663,High income
Finland,2015,1555.64,13.71,42560.3456767103,5479531.0,9.376,High income
Finland,2016,1554.67,13.31,43451.2562442158,5495303.0,8.818,High income
Finland,2017,1548.855,13.61,46085.0174739036,5508214.0,8.64,High income
Finland,2018,1546.916,13.73,49654.2497035329,5515525.0,7.361,High income
Finland,2019,1537.224,16.05,48358.1807773701,5521606.0,6.695,High income
Australia,2010,1688.0,4.75,52313.8939041213,22031750.0,5.214,High income
Australia,2011,1690.0,5.01,62799.3895017032,22340024.0,5.083,High income
Australia,2012,1682.0,6.48,68301.4402512587,22733465.0,5.225,High income
Australia,2016,1661.0,8.03,50084.4440606385,24190907.0,5.711,High income
Australia,2017,1665.0,5.32,54117.547718609,24592588.0,5.592,High income
Australia,2018,1653.0,5.29,57410.1737346009,24963258.0,5.345,High income
Austria,2010,1528.374,12.41,46611.1393420232,8363404.0,4.883,High income
Austria,2011,1538.06,12.72,51116.8953522042,8391643.0,4.637,High income
Austria,2012,1520.058,12.54,48250.4059142637,8429991.0,4.909,High income
Austria,2013,1512.016,12.78,50305.3545774973,8479823.0,5.367,High income
Austria,2014,1510.189,13.12,51314.9722616322,8546356.0,5.674,High income
Austria,2015,1495.111,12.23,43915.228020857,8642699.0,5.802,High income
Austria,2016,1507.173,12.09,45061.4993920192,8736668.0,6.064,High income
Austria,2017,1499.04,10.23,47163.7425775142,8797566.0,5.561,High income
Austria,2018,1505.163,10.48,51194.0749841299,8840521.0,4.933,High income
Austria,2019,1515.398,9.43,49885.9947355204,8879920.0,4.56,High income
Belgium,2010,1578.194,5.68,44197.393671162,10895586.0,8.293,High income
Belgium,2011,1594.696,5.06,47760.8298776546,11038264.0,7.14,High income
Belgium,2012,1592.525,5.27,44874.1709182123,11106932.0,7.542,High income
Belgium,2013,1591.506,7.34,46964.5946777056,11159407.0,8.425,High income
Belgium,2014,1587.92,5.85,47995.7786961339,11209057.0,8.523,High income
Belgium,2015,1582.106,5.36,40893.804537772,11274196.0,8.482,High income
Belgium,2016,1582.189,4.92,41854.5498296444,11331422.0,7.83,High income
Belgium,2017,1584.384,4.75,44035.3239358548,11375158.0,7.09,High income
Belgium,2018,1587.5,4.8,47487.2100392561,11427054.0,5.941,High income
Belgium,2019,1587.405,6.01,46716.6227467964,11488980.0,5.364,High income
Canada,2016,1705.0,7.39,42314.0615817218,36110803.0,7.038,High income
Canada,2017,1694.0,7.01,45129.628116623,36545075.0,6.426,High income
Canada,2018,1704.0,6.83,46539.1761570405,37072620.0,5.837,High income
Canada,2019,1693.0,6.99,46352.8693445211,37618495.0,5.69,High income
Chile,2010,2076.0,0.58,12632.8704724192,17181464.0,8.547,High income
Chile,2011,2056.0,0.32,14487.3927832032,17351816.0,7.492,High income
Chile,2012,2033.0,0.56,15241.9069981119,17519119.0,6.79,High income
Chile,2013,2027.0,0.61,15683.5486369155,17687006.0,6.361,High income
Chile,2014,2000.0,0.65,14529.6767206336,17864195.0,6.761,High income
Czechia,2010,1798.807,2.26,20160.4355077059,10474410.0,7.281,High income
Czechia,2011,1804.786,3.78,22049.1080788682,10496088.0,6.712,High income
Czechia,2012,1774.424,3.25,20014.0354015165,10510785.0,6.979,High income
Czechia,2013,1761.224,3.0,20260.4954999375,10514272.0,6.953,High income
Czechia,2014,1771.798,3.18,20038.4163180257,10525347.0,6.108,High income
Czechia,2015,1749.727,2.92,17931.5987670768,10546059.0,5.048,High income
Czechia,2016,1773.193,2.42,18753.9686718096,10566332.0,3.952,High income
Czechia,2017,1775.649,2.14,20913.197632212,10594438.0,2.893,High income
Czechia,2018,1783.554,2.39,23705.9329811299,10629928.0,2.246,High income
Czechia,2019,1783.152,2.13,24062.7190013343,10671870.0,2.015,High income
Denmark,2010,1422.293,13.43,58104.5445594981,5547683.0,7.746,High income
Denmark,2011,1436.826,13.53,61809.737898222,5570572.0,7.769,High income
